NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	138	-0.55250025	-2.0237024	0.0	0.0	0.0	2528	tags=64%, list=31%, signal=91%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	140	-0.4781118	-1.7745748	0.0	0.00647616	0.022	2536	tags=50%, list=31%, signal=71%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	26	-0.58275795	-1.6012264	0.017821781	0.032169048	0.146	1091	tags=27%, list=13%, signal=31%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	21	-0.61108696	-1.574047	0.029296875	0.033127718	0.198	1237	tags=43%, list=15%, signal=50%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	107	-0.36059502	-1.2677662	0.07183365	0.33348775	0.94	2028	tags=38%, list=25%, signal=50%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	70	-0.37761694	-1.2423477	0.14035088	0.32534128	0.964	823	tags=26%, list=10%, signal=28%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	90	-0.33573508	-1.1439568	0.22040074	0.49605152	0.997	295	tags=7%, list=4%, signal=7%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	29	-0.37845913	-1.0524153	0.39019608	0.67947173	1.0	2529	tags=38%, list=31%, signal=55%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	117	-0.2886997	-1.0299224	0.3897059	0.66573083	1.0	909	tags=21%, list=11%, signal=23%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	108	-0.28686917	-1.0118804	0.41929498	0.64539385	1.0	1714	tags=30%, list=21%, signal=37%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	27	-0.35682124	-0.9605963	0.5189621	0.7212407	1.0	1004	tags=19%, list=12%, signal=21%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	22	-0.34749424	-0.8998133	0.59732825	0.81775856	1.0	290	tags=9%, list=4%, signal=9%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	79	-0.2337294	-0.7902455	0.8704762	0.98424476	1.0	2107	tags=32%, list=26%, signal=42%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	109	-0.21671286	-0.7548078	0.93333334	0.9632147	1.0	3289	tags=42%, list=40%, signal=69%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	97	-0.21682768	-0.7546951	0.92633516	0.89923424	1.0	2080	tags=30%, list=25%, signal=40%	
