NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	138	0.6106732	2.168099	0.0	0.0	0.0	1893	tags=55%, list=23%, signal=70%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	140	0.52554184	1.8903958	0.0	0.0018333334	0.003	1902	tags=51%, list=23%, signal=65%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	48	0.5110919	1.5164536	0.020366598	0.14256461	0.303	833	tags=35%, list=10%, signal=39%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	107	0.43641648	1.497204	0.01010101	0.12683198	0.352	2243	tags=41%, list=27%, signal=56%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	72	0.43008652	1.3869864	0.04474708	0.2652806	0.687	2911	tags=56%, list=35%, signal=85%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	108	0.3222235	1.1025435	0.2580645	1.0	1.0	1947	tags=31%, list=24%, signal=41%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	90	0.3253768	1.0929031	0.272	1.0	1.0	1624	tags=27%, list=20%, signal=33%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	111	0.31333825	1.0701836	0.29116467	1.0	1.0	1009	tags=16%, list=12%, signal=18%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	104	0.29438683	1.0101849	0.43960395	1.0	1.0	2219	tags=32%, list=27%, signal=43%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	50	0.3356979	1.0021443	0.4550898	1.0	1.0	924	tags=12%, list=11%, signal=13%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	96	0.2955519	0.98637635	0.4801762	1.0	1.0	2280	tags=33%, list=28%, signal=46%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	0.30703354	0.9495401	0.5638298	1.0	1.0	2162	tags=43%, list=26%, signal=57%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	95	0.2827294	0.9447053	0.564	1.0	1.0	979	tags=19%, list=12%, signal=21%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	54	0.29736465	0.9113919	0.6183674	1.0	1.0	2264	tags=39%, list=28%, signal=53%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	44	0.29964548	0.90377414	0.63061225	1.0	1.0	2142	tags=39%, list=26%, signal=52%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	125	0.2520134	0.87963	0.7369478	1.0	1.0	2210	tags=35%, list=27%, signal=47%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	26	0.33745107	0.87712365	0.6573705	1.0	1.0	2721	tags=58%, list=33%, signal=86%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	88	0.26353955	0.8761456	0.72357726	1.0	1.0	2395	tags=39%, list=29%, signal=54%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	92	0.25700718	0.8618272	0.78313255	1.0	1.0	922	tags=15%, list=11%, signal=17%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	82	0.25971565	0.8500144	0.78185326	1.0	1.0	3405	tags=59%, list=41%, signal=99%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		137	0.2424539	0.8454828	0.808	1.0	1.0	2474	tags=34%, list=30%, signal=47%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		89	0.25123975	0.84026206	0.78881985	0.98833317	1.0	2214	tags=37%, list=27%, signal=50%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		112	0.24181305	0.82915694	0.8397566	0.9706926	1.0	500	tags=7%, list=6%, signal=8%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		21	0.3196555	0.81754315	0.6969697	0.95291835	1.0	1135	tags=19%, list=14%, signal=22%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		97	0.23211744	0.7805714	0.89314514	0.9793429	1.0	1338	tags=18%, list=16%, signal=21%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		112	0.21400505	0.72816837	0.9631902	1.0	1.0	1770	tags=22%, list=22%, signal=28%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		102	0.19937648	0.6784061	0.98015875	1.0	1.0	1255	tags=16%, list=15%, signal=18%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		109	0.14431033	0.48980922	1.0	0.99829257	1.0	2251	tags=21%, list=27%, signal=29%	
