NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	18	-0.5543127	-1.3769546	0.12451362	0.9430119	0.69	2630	tags=61%, list=32%, signal=90%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	117	-0.37536874	-1.3034893	0.06407767	0.80176455	0.856	1932	tags=38%, list=24%, signal=50%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	26	-0.47913727	-1.2828226	0.15592515	0.62033826	0.887	525	tags=12%, list=6%, signal=12%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	66	-0.38323638	-1.2288127	0.15277778	0.6685984	0.964	1899	tags=39%, list=23%, signal=51%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	38	-0.42173672	-1.2018694	0.18595041	0.63182324	0.979	1476	tags=29%, list=18%, signal=35%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	79	-0.37079436	-1.2005452	0.15212981	0.53203875	0.98	1270	tags=23%, list=15%, signal=27%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	90	-0.35267916	-1.189057	0.16297787	0.49034026	0.989	1375	tags=27%, list=17%, signal=32%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	27	-0.43448377	-1.1508071	0.25540274	0.5377873	0.997	1539	tags=26%, list=19%, signal=32%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	70	-0.35036236	-1.1239046	0.24801587	0.55214787	1.0	1460	tags=31%, list=18%, signal=38%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	69	-0.34437975	-1.1145865	0.27362204	0.5198268	1.0	3032	tags=52%, list=37%, signal=82%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	95	-0.2915655	-0.9834461	0.47010309	0.8836093	1.0	2030	tags=29%, list=25%, signal=39%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	105	-0.2745406	-0.9523941	0.5632653	0.9176833	1.0	1374	tags=25%, list=17%, signal=29%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	29	-0.33917242	-0.93997234	0.5469062	0.88674253	1.0	2350	tags=52%, list=29%, signal=72%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	64	-0.29049137	-0.918321	0.61133605	0.8893766	1.0	1113	tags=17%, list=14%, signal=20%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	22	-0.3520541	-0.9176708	0.602459	0.8319226	1.0	1104	tags=27%, list=13%, signal=31%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	63	-0.2700155	-0.85118264	0.74609375	0.9550115	1.0	1365	tags=21%, list=17%, signal=25%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	111	-0.22726521	-0.7891313	0.91217566	1.0	1.0	1436	tags=20%, list=17%, signal=24%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	56	-0.2199248	-0.69636005	0.951579	1.0	1.0	2236	tags=29%, list=27%, signal=39%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	128	-0.19087988	-0.6730598	0.9920319	1.0	1.0	2298	tags=35%, list=28%, signal=48%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	41	-0.1810176	-0.53478384	1.0	0.99646217	1.0	6738	tags=100%, list=82%, signal=553%	
