NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	112	0.7213875	2.6106288	0.0	0.0	0.0	977	tags=54%, list=12%, signal=61%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	66	0.7767092	2.603497	0.0	0.0	0.0	977	tags=71%, list=12%, signal=80%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	90	0.57679063	1.9965695	0.0	0.0011970588	0.002	1520	tags=50%, list=18%, signal=61%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	38	0.65906817	1.9580029	0.0	0.001272794	0.003	914	tags=45%, list=11%, signal=50%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	128	0.5171768	1.8952208	0.0	0.0015801918	0.005	1557	tags=45%, list=19%, signal=54%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	102	0.4869365	1.7557657	0.0	0.008966404	0.036	1356	tags=33%, list=17%, signal=39%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	69	0.5133471	1.7358462	0.0021645022	0.009263758	0.043	1953	tags=36%, list=24%, signal=47%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	105	0.4698692	1.6861844	0.0	0.012746818	0.068	1354	tags=36%, list=16%, signal=43%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	26	0.57795775	1.5937692	0.024096385	0.029222932	0.171	2261	tags=65%, list=28%, signal=90%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	104	0.40745813	1.4661353	0.0084566595	0.08480614	0.451	1383	tags=34%, list=17%, signal=40%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	63	0.43650606	1.4427322	0.03712297	0.091034755	0.505	1015	tags=29%, list=12%, signal=32%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	112	0.39601794	1.415218	0.009153318	0.105343066	0.59	1420	tags=26%, list=17%, signal=31%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	125	0.37232682	1.3748431	0.027253669	0.13184586	0.685	2009	tags=38%, list=24%, signal=49%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	82	0.39650577	1.3563526	0.04821803	0.13962685	0.734	2646	tags=46%, list=32%, signal=68%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	88	0.387875	1.341077	0.057395145	0.14426522	0.775	1630	tags=28%, list=20%, signal=35%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	0.4050569	1.3188416	0.09033614	0.15827286	0.834	2323	tags=50%, list=28%, signal=69%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	18	0.4797451	1.2166357	0.2193676	0.28248578	0.974	309	tags=22%, list=4%, signal=23%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	111	0.3349857	1.2078775	0.12	0.28070545	0.978	1351	tags=27%, list=16%, signal=32%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	96	0.33359262	1.197895	0.15778251	0.2825154	0.984	2251	tags=34%, list=27%, signal=47%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	44	0.38823706	1.1855972	0.22199592	0.29018643	0.988	966	tags=16%, list=12%, signal=18%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		92	0.33643645	1.1855189	0.15913978	0.27660874	0.988	2366	tags=48%, list=29%, signal=66%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		95	0.32703474	1.1388408	0.20127119	0.34416446	0.996	1185	tags=25%, list=14%, signal=29%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		64	0.33401552	1.1015214	0.27716187	0.39979693	0.998	490	tags=17%, list=6%, signal=18%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		137	0.25819173	0.95635885	0.5676856	0.7393224	1.0	1560	tags=28%, list=19%, signal=35%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		48	0.30359012	0.94620997	0.56063616	0.7397917	1.0	353	tags=8%, list=4%, signal=9%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		111	0.23906174	0.8632172	0.77578473	0.93459356	1.0	1265	tags=22%, list=15%, signal=25%	
